Category,Name,Status,Rarity Winter,Rarity Summer,Rarity Breeding,Rarity Passage,Rarity Vagrant,Rarity Feral,Rarity Escapee,Rarity Overall,Taxon
A,Mute Swan,WS5; B4-5,5,5,4,0,0,0,0,5,Cygnus olor
A,Bewick's Swan,WP4,4,0,0,4,0,0,0,4,Cygnus columbianus
A,Whooper Swan,WP3,3,0,0,3,0,0,0,3,Cygnus cygnus
A,Bean Goose,W2,2,0,0,0,0,0,0,2,Anser fabalis
A,Pink-footed Goose,P4-5; W3; E,3,0,0,4,0,0,-1,4,Anser brachyrhynchus
A,White-fronted Goose,W3-4; E,3,0,0,0,0,0,-1,3,Anser albifrons
C,Greylag Goose,F5-6; B3-4,0,0,3,0,0,5,0,5,Anser anser
C,Canada Goose,F6; B5,0,0,5,0,0,6,0,6,Branta canadensis
A,Barnacle Goose,F/E4; W2,2,0,0,0,0,4,4,4,Branta leucopsis
A,Brent Goose,WP3,3,0,0,3,0,0,0,3,Branta bernicla
C,Egyptian Goose,F4; B3,0,0,3,0,0,4,0,4,Alopochen aegyptiaca
A,Shelduck,WP4; B3,4,0,3,4,0,0,0,4,Tadorna tadorna
C,Mandarin,F4; B3,0,0,3,0,0,4,0,4,Aix galericulata
A,Wigeon,WP6; S3,6,3,0,6,0,0,0,6,Mareca penelope
A,American Wigeon,V1,0,0,0,0,1,0,0,1,Mareca americana
A,Gadwall,WP6; B4,6,0,4,6,0,0,0,6,Mareca strepera
A,Teal,WP6; B2,6,0,2,6,0,0,0,6,Anas crecca
A,Green-winged Teal,V1,0,0,0,0,1,0,0,1,Anas carolinensis
A,Mallard,W6; B5,6,0,5,0,0,0,0,6,Anas platyrhynchos
A,Pintail,WP4-5,4,0,0,4,0,0,0,4,Anas acuta
A,Garganey,P3-4; B1,0,0,1,3,0,0,0,3,Spatula querquedula
A,Blue-winged Teal,V1,0,0,0,0,1,0,0,1,Spatula discors
A,Shoveler,W5; B2-3,5,0,2,0,0,0,0,5,Spatula clypeata 
